ROCO_ID,PMC_ID,CC
ROCO_81834,PMC3498864_jovr-04-256f2.jpg,NO-CC CODE
ROCO_81840,PMC4299014_sensors-14-22285f2.jpg,CC BY
ROCO_81862,PMC5489500_dmj-41-195-g001.jpg,CC BY-NC
ROCO_81876,PMC4745245_EJD-9-599-g003.jpg,CC BY-NC-SA
ROCO_81888,PMC3939350_jls0011432610010.jpg,CC BY-NC-ND
ROCO_81890,PMC4336911_biodiversity_data_journal-3-e4299-g007.jpg,CC BY
ROCO_81894,PMC3531093_gks1042f2p.jpg,CC BY-NC
ROCO_81902,PMC5725634_fig-1.jpg,CC BY
ROCO_81922,PMC5210103_JFDS-8-155-g003.jpg,CC BY-NC-SA
ROCO_81937,PMC4042035_AMS-10-20265-g001.jpg,CC BY-NC-ND

