ROCO_ID,PMC_ID,CC
ROCO_00020,PMC3970251_CRIONM2014-931546.003.jpg,CC BY
ROCO_00027,PMC2766744_cios-1-176-g005.jpg,CC BY
ROCO_00059,PMC3789931_poljradiol-78-3-35-g001.jpg,NO-CC CODE
ROCO_00062,PMC2676075_p147_fig4a.jpg,NO-CC CODE
ROCO_00068,PMC5292123_CRIGM2017-1710501.002.jpg,CC BY
ROCO_00073,PMC4756892_CMJ-128-2946-g004.jpg,CC BY-NC-SA
ROCO_00076,PMC2494540_1757-1626-1-52-1.jpg,CC BY
ROCO_00079,PMC3339065_NAJMS-2-392-g001.jpg,CC BY-NC-SA
ROCO_00082,PMC2636159_IndianJOphthalmol-56-269-g003.jpg,CC BY-NC-SA
ROCO_00099,PMC5625558_1657-9534-cm-48-02-00088-gf1.jpg,CC BY

